Bulan,,,,,,,,,,,,
,Suhu (°C),,,,,,,,,,,
,Minimum,,,,Rata-rata,,,,Maksimum,,,
,2018,,,,2018,,,,2018,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,19.4,-,-,-,23.3,-,-,-,30.8,-,-,-
Februari,19.4,-,-,-,23.6,-,-,-,31.2,-,-,-
Maret,19,-,-,-,23.6,-,-,-,31.2,-,-,-
April,18.2,-,-,-,23.8,-,-,-,32.3,-,-,-
Mei,17.6,-,-,-,23.7,-,-,-,31.4,-,-,-
Juni,17.8,-,-,-,23.7,-,-,-,31,-,-,-
Juli,15.8,-,-,-,22.9,-,-,-,32,-,-,-
Agustus,16.2,-,-,-,23.3,-,-,-,31.4,-,-,-
September,16.4,-,-,-,23.7,-,-,-,32.8,-,-,-
Oktober,18.4,-,-,-,24.2,-,-,-,33.4,-,-,-
November,19,-,-,-,23.7,-,-,-,33,-,-,-
Desember,19,-,-,-,23.7,-,-,-,31.4,-,-,-